event_id,symbol,pump_start,last_trigger_time,peak_time,trigger_modes,trigger_minutes,source_event_ids,merged_event_count,pump_start_close,peak_price,pump_return_to_peak,event_volatility_at_start,event_pump_threshold,minutes_to_peak,pump_regime,trough_time_5m,trough_price_5m,peak_drawdown_5m,minutes_to_trough_5m,event_drawdown_class_5m,trough_time_15m,trough_price_15m,peak_drawdown_15m,minutes_to_trough_15m,event_drawdown_class_15m,trough_time_30m,trough_price_30m,peak_drawdown_30m,minutes_to_trough_30m,event_drawdown_class_30m,trough_time_60m,trough_price_60m,peak_drawdown_60m,minutes_to_trough_60m,event_drawdown_class_60m,max_event_drawdown_class
SYNTHUSDT-20250112T000500-0009,SYNTHUSDT,2025-01-12 00:05:00+00:00,2025-01-12 01:19:00+00:00,2025-01-12 00:41:00+00:00,"15m,240m,60m",58,SYNTHUSDT-20250112T000500-RAW0015,1,8.160475566368557,11.18479575081452,0.3706058746024523,0.043043313399660735,0.08608662679932147,36.0,MEDIUM,2025-01-12 00:42:00+00:00,11.091143027672128,-0.008373217109089448,1.0,0,2025-01-12 00:56:00+00:00,10.861950660851054,-0.028864638850463975,15.0,0,2025-01-12 01:02:00+00:00,10.748462681797973,-0.039011268398421284,21.0,1,2025-01-12 01:29:00+00:00,10.733799171104806,-0.04032229016581457,48.0,1,1
SYNTHUSDT-20250113T060500-0010,SYNTHUSDT,2025-01-13 06:05:00+00:00,2025-01-13 07:03:00+00:00,2025-01-13 06:47:00+00:00,"15m,240m,60m",59,SYNTHUSDT-20250113T060500-RAW0019,1,12.027886180414821,16.633900487243235,0.3829446203380651,0.020451141493747674,0.04090228298749535,42.0,MEDIUM,2025-01-13 06:52:00+00:00,16.061498953536038,-0.0344117445061175,5.0,1,2025-01-13 07:02:00+00:00,14.824142742853889,-0.10879936102643362,15.0,3,2025-01-13 07:17:00+00:00,13.151921729095305,-0.20933026266559107,30.0,4,2025-01-13 07:25:00+00:00,12.611221403688429,-0.24183618788869476,38.0,4,4
SYNTHUSDT-20250114T120900-0011,SYNTHUSDT,2025-01-14 12:09:00+00:00,2025-01-14 13:08:00+00:00,2025-01-14 12:45:00+00:00,"15m,240m,60m",60,SYNTHUSDT-20250114T120900-RAW0020,1,13.76238554505356,16.144887195779102,0.17311690934148083,0.017102222548860582,0.034204445097721164,36.0,MEDIUM,2025-01-14 12:50:00+00:00,16.039772682870993,-0.006510699742491299,5.0,0,2025-01-14 13:00:00+00:00,15.843082801786512,-0.01869349660563091,15.0,0,2025-01-14 13:13:00+00:00,15.297530396447215,-0.05248452894445865,28.0,2,2025-01-14 13:27:00+00:00,15.219147524810346,-0.05733949452497755,42.0,2,2
SYNTHUSDT-20250115T180500-0012,SYNTHUSDT,2025-01-15 18:05:00+00:00,2025-01-15 18:39:00+00:00,2025-01-15 18:27:00+00:00,"15m,240m,60m",35,SYNTHUSDT-20250115T180500-RAW0021,1,17.897830282394477,25.934564618174207,0.44903400071265676,0.04542917216747449,0.09085834433494898,22.0,FAST,2025-01-15 18:31:00+00:00,25.78680628413727,-0.005697351631397396,4.0,0,2025-01-15 18:42:00+00:00,21.40351941819136,-0.17471067151856556,15.0,4,2025-01-15 18:53:00+00:00,17.44252267604289,-0.32744108363324265,26.0,4,2025-01-15 19:07:00+00:00,17.42690070758257,-0.3280434445631568,40.0,4,4
SYNTHUSDT-20250117T000500-0013,SYNTHUSDT,2025-01-17 00:05:00+00:00,2025-01-17 00:51:00+00:00,2025-01-17 00:29:00+00:00,"15m,240m,60m",47,SYNTHUSDT-20250117T000500-RAW0022,1,19.878405568737875,27.200629640501795,0.36835067311833813,0.048719761053593616,0.09743952210718723,24.0,FAST,2025-01-17 00:34:00+00:00,27.07813559666199,-0.004503353248022313,5.0,0,2025-01-17 00:44:00+00:00,25.26638499362471,-0.07111028944701314,15.0,2,2025-01-17 00:59:00+00:00,22.90223908466496,-0.15802540649413954,30.0,4,2025-01-17 01:03:00+00:00,22.886340671489897,-0.15860989344849252,34.0,4,4
SYNTHUSDT-20250118T060700-0014,SYNTHUSDT,2025-01-18 06:07:00+00:00,2025-01-18 07:05:00+00:00,2025-01-18 06:42:00+00:00,"15m,240m,60m",59,SYNTHUSDT-20250118T060700-RAW0023,1,25.617787194164965,32.82315341514051,0.281264192194427,0.018906967880216237,0.037813935760432474,35.0,MEDIUM,2025-01-18 06:46:00+00:00,32.43205457631738,-0.011915334089829699,4.0,0,2025-01-18 06:57:00+00:00,32.22563277523862,-0.018204242363448975,15.0,0,2025-01-18 07:12:00+00:00,28.270473036385138,-0.1387033208288675,30.0,4,2025-01-18 07:17:00+00:00,27.021756390401002,-0.1767470953008271,35.0,4,4
SYNTHUSDT-20250119T120500-0015,SYNTHUSDT,2025-01-19 12:05:00+00:00,2025-01-19 13:05:00+00:00,2025-01-19 12:33:00+00:00,"15m,240m,60m",61,SYNTHUSDT-20250119T120500-RAW0024,1,30.068384405772473,42.292299845009246,0.4065371545832057,0.02919984527395165,0.0583996905479033,28.0,FAST,2025-01-19 12:38:00+00:00,42.01094595224139,-0.006652603282369274,5.0,0,2025-01-19 12:48:00+00:00,41.869269520073836,-0.010002537731116812,15.0,0,2025-01-19 13:03:00+00:00,38.76532390970837,-0.08339522674875488,30.0,3,2025-01-19 13:31:00+00:00,35.85359641546556,-0.15224292490926083,58.0,4,4
SYNTHUSDT-20250120T180500-0016,SYNTHUSDT,2025-01-20 18:05:00+00:00,2025-01-20 19:15:00+00:00,2025-01-20 18:43:00+00:00,"15m,240m,60m",71,SYNTHUSDT-20250120T180500-RAW0025,1,38.43985035360137,51.699690601003006,0.34495036076953256,0.024148066387301888,0.048296132774603776,38.0,MEDIUM,2025-01-20 18:48:00+00:00,51.34229411011674,-0.006912932876997346,5.0,0,2025-01-20 18:58:00+00:00,50.594675185006835,-0.021373733636516845,15.0,0,2025-01-20 19:13:00+00:00,49.20368432007442,-0.04827894039428082,30.0,1,2025-01-20 19:41:00+00:00,48.779783473668566,-0.056478232140093176,58.0,2,2
SYNTHUSDT-20250122T000500-0017,SYNTHUSDT,2025-01-22 00:05:00+00:00,2025-01-22 01:10:00+00:00,2025-01-22 00:52:00+00:00,"15m,240m,60m",66,SYNTHUSDT-20250122T000500-RAW0029,1,52.57870196175922,78.37008153325792,0.49052902808929955,0.031221937585556664,0.06244387517111333,47.0,MEDIUM,2025-01-22 00:57:00+00:00,76.19851587021373,-0.02770911578192814,5.0,0,2025-01-22 01:07:00+00:00,70.52071939252623,-0.10015763652613596,15.0,3,2025-01-22 01:22:00+00:00,62.299673797064536,-0.20505794330931737,30.0,4,2025-01-22 01:40:00+00:00,61.33639819729105,-0.21734931242528166,48.0,4,4
SYNTHUSDT-20250123T060500-0018,SYNTHUSDT,2025-01-23 06:05:00+00:00,2025-01-23 07:31:00+00:00,2025-01-23 06:38:00+00:00,"15m,240m,60m",72,SYNTHUSDT-20250123T060500-RAW0030,1,66.08751490555589,97.92050174606757,0.4816792836892634,0.02876285744529686,0.05752571489059372,33.0,MEDIUM,2025-01-23 06:42:00+00:00,97.08820382482679,-0.008499730969507624,4.0,0,2025-01-23 06:51:00+00:00,95.68413941195813,-0.022838550602088392,13.0,0,2025-01-23 07:07:00+00:00,94.7033433309292,-0.03285479912553213,29.0,1,2025-01-23 07:32:00+00:00,94.15093768582456,-0.038496167738380604,54.0,1,1
