feature,train_available,train_non_null,validation_available,validation_non_null,test_available,test_non_null
return_1m,1.0,103,1.0,33,1.0,38
return_5m,1.0,103,1.0,33,1.0,38
return_15m,1.0,103,1.0,33,1.0,38
return_60m,1.0,103,1.0,33,1.0,38
realized_vol_5m,1.0,103,1.0,33,1.0,38
realized_vol_15m,1.0,103,1.0,33,1.0,38
realized_vol_60m,1.0,103,1.0,33,1.0,38
volume_robust_z,1.0,103,1.0,33,1.0,38
trade_count_robust_z,1.0,103,1.0,33,1.0,38
volume_ratio_ewma,1.0,103,1.0,33,1.0,38
distance_price_ewma,1.0,103,1.0,33,1.0,38
distance_vwap_15m,1.0,103,1.0,33,1.0,38
distance_vwap_60m,1.0,103,1.0,33,1.0,38
distance_high_60m,1.0,103,1.0,33,1.0,38
time_since_high_60m,1.0,103,1.0,33,1.0,38
upper_wick_ratio,1.0,103,1.0,33,1.0,38
taker_buy_ratio,1.0,103,1.0,33,1.0,38
taker_imbalance,1.0,103,1.0,33,1.0,38
cvd_slope_15m,1.0,103,1.0,33,1.0,38
buy_efficiency_5m,1.0,103,1.0,33,1.0,38
buy_efficiency_change,1.0,103,1.0,33,1.0,38
sell_acceleration,1.0,103,1.0,33,1.0,38
failed_breakouts_15m,1.0,103,1.0,33,1.0,38
oi_change_5m,1.0,103,1.0,33,1.0,38
oi_change_15m,1.0,103,1.0,33,1.0,38
oi_change_60m,1.0,103,1.0,33,1.0,38
price_oi_divergence_15m,1.0,103,1.0,33,1.0,38
funding_rate,1.0,103,1.0,33,1.0,38
funding_robust_z,0.8349514563106796,86,1.0,33,1.0,38
data_quality,1.0,103,1.0,33,1.0,38
