fold_type,event_id,holdout_symbol,event_start,purge_minutes,train_rows,train_events,train_positive_events,train_symbols,train_max_event_end,features_used,features_dropped,status
CALIBRATION,AAAUSDT-027,AAAUSDT,2025-01-28 00:00:00+00:00,60,36,18,6,"BBBUSDT,CCCUSDT",2025-01-27 00:20:00+00:00,0,,SKIPPED_MIN_TRAIN_EVENTS
CALIBRATION,BBBUSDT-028,BBBUSDT,2025-01-29 00:00:00+00:00,60,38,19,6,"AAAUSDT,CCCUSDT",2025-01-28 00:20:00+00:00,0,,SKIPPED_MIN_TRAIN_EVENTS
CALIBRATION,CCCUSDT-029,CCCUSDT,2025-01-30 00:00:00+00:00,60,40,20,7,"AAAUSDT,BBBUSDT",2025-01-29 00:20:00+00:00,5,,OK
CALIBRATION,AAAUSDT-030,AAAUSDT,2025-01-31 00:00:00+00:00,60,40,20,7,"BBBUSDT,CCCUSDT",2025-01-30 00:20:00+00:00,5,,OK
CALIBRATION,BBBUSDT-031,BBBUSDT,2025-02-01 00:00:00+00:00,60,42,21,6,"AAAUSDT,CCCUSDT",2025-01-31 00:20:00+00:00,5,,OK
CALIBRATION,CCCUSDT-032,CCCUSDT,2025-02-02 00:00:00+00:00,60,44,22,7,"AAAUSDT,BBBUSDT",2025-02-01 00:20:00+00:00,5,,OK
CALIBRATION,AAAUSDT-033,AAAUSDT,2025-02-03 00:00:00+00:00,60,44,22,8,"BBBUSDT,CCCUSDT",2025-02-02 00:20:00+00:00,5,,OK
CALIBRATION,BBBUSDT-034,BBBUSDT,2025-02-04 00:00:00+00:00,60,46,23,8,"AAAUSDT,CCCUSDT",2025-02-03 00:20:00+00:00,5,,OK
CALIBRATION,CCCUSDT-035,CCCUSDT,2025-02-05 00:00:00+00:00,60,48,24,8,"AAAUSDT,BBBUSDT",2025-02-04 00:20:00+00:00,5,,OK
EVALUATION,AAAUSDT-036,AAAUSDT,2025-02-06 00:00:00+00:00,60,48,24,8,"BBBUSDT,CCCUSDT",2025-02-05 00:20:00+00:00,5,,OK
EVALUATION,BBBUSDT-037,BBBUSDT,2025-02-07 00:00:00+00:00,60,50,25,9,"AAAUSDT,CCCUSDT",2025-02-06 00:20:00+00:00,5,,OK
EVALUATION,CCCUSDT-038,CCCUSDT,2025-02-08 00:00:00+00:00,60,52,26,9,"AAAUSDT,BBBUSDT",2025-02-07 00:20:00+00:00,5,,OK
EVALUATION,AAAUSDT-039,AAAUSDT,2025-02-09 00:00:00+00:00,60,52,26,8,"BBBUSDT,CCCUSDT",2025-02-08 00:20:00+00:00,5,,OK
EVALUATION,BBBUSDT-040,BBBUSDT,2025-02-10 00:00:00+00:00,60,54,27,9,"AAAUSDT,CCCUSDT",2025-02-09 00:20:00+00:00,5,,OK
EVALUATION,CCCUSDT-041,CCCUSDT,2025-02-11 00:00:00+00:00,60,56,28,10,"AAAUSDT,BBBUSDT",2025-02-10 00:20:00+00:00,5,,OK
EVALUATION,AAAUSDT-042,AAAUSDT,2025-02-12 00:00:00+00:00,60,56,28,9,"BBBUSDT,CCCUSDT",2025-02-11 00:20:00+00:00,5,,OK
EVALUATION,BBBUSDT-043,BBBUSDT,2025-02-13 00:00:00+00:00,60,58,29,9,"AAAUSDT,CCCUSDT",2025-02-12 00:20:00+00:00,5,,OK
EVALUATION,CCCUSDT-044,CCCUSDT,2025-02-14 00:00:00+00:00,60,60,30,10,"AAAUSDT,BBBUSDT",2025-02-13 00:20:00+00:00,5,,OK
EVALUATION,AAAUSDT-045,AAAUSDT,2025-02-15 00:00:00+00:00,60,60,30,10,"BBBUSDT,CCCUSDT",2025-02-14 00:20:00+00:00,5,,OK
EVALUATION,BBBUSDT-046,BBBUSDT,2025-02-16 00:00:00+00:00,60,62,31,10,"AAAUSDT,CCCUSDT",2025-02-15 00:20:00+00:00,5,,OK
EVALUATION,CCCUSDT-047,CCCUSDT,2025-02-17 00:00:00+00:00,60,64,32,10,"AAAUSDT,BBBUSDT",2025-02-16 00:20:00+00:00,5,,OK
